name,tic_id,status,regime,period_days,t0_bjd,depth_ppm,radius_earth,radius_jupiter,mass_earth,mass_jupiter,density_g_cm3,k_semiamp_ms,transit_duration_hours,r_star_rsun,m_star_msun,centroid_offset_arcsec,centroid_sigma,fpp,interior_classification
WASP-77b,16288184,PASSED,Dense / Massive Hot Jupiter,1.36003,2456200.5,17530.0,13.72,1.224,557.4,1.754,1.19,321.4,2.16,0.95,1.0,0.22,0.6,0.0001,Dense / Massive Hot Jupiter
WASP-126b,25155310,PASSED,Standard Gas Giant / Hot Jupiter,3.28879,2456950.0,5820.0,10.57,0.943,92.1,0.29,0.43,36.7,3.0,1.27,1.12,0.15,0.4,0.0001,Standard Gas Giant / Hot Jupiter
WASP-62b,149603524,PASSED,Inflated Gas Giant,4.41194,2455850.0,12450.0,15.6,1.39,202.3,0.637,0.29,68.0,3.63,1.28,1.25,0.18,0.5,0.0002,Inflated / Low-Density Hot Jupiter
WASP-46b,231663901,PASSED,Dense / Massive Hot Jupiter,1.43037,2455480.0,19770.0,14.1,1.259,668.7,2.104,1.31,389.5,1.62,0.92,0.96,0.19,0.5,0.0001,Dense / Massive Hot Jupiter
Kepler-10b,377780790,PASSED,Super-Earth / Rocky,0.8374907,2455034.08687,191.9,1.47,0.131,3.24,0.0102,5.62,2.32,1.811,1.065,0.91,0.19,0.5,0.0004,Super-Earth (Dense Rocky)
Kepler-19b,122375047,PASSED,Sub-Neptune / Water World,9.28699,2454959.7074,691.7,2.209,0.197,6.1,0.0192,3.12,2.13,3.3652,0.859,0.936,0.18,0.3,0.0004,Water World / Volatile-Rich Super-Earth
Kepler-20b,158554588,PASSED,Super-Earth / Rocky,3.6961049,2454967.50225,396.7,1.773,0.158,9.7,0.0305,9.6,4.23,2.463,0.9164,0.929,0.19,0.6,0.0001,Super-Earth (Dense Rocky)
Kepler-21b,121214185,PASSED,Super-Earth / Rocky,2.7858212,2455093.83716,62.2,1.639,0.146,7.5,0.0236,9.39,2.7,3.4834,1.902,1.408,0.15,0.4,0.0004,Super-Earth (Dense Rocky)
Kepler-22b,158984573,PASSED,Habitable-Zone Sub-Neptune / Water World,289.863876,2454966.7001,501.9,2.1,0.187,9.1,0.0286,5.42,1.6,7.415,0.869,0.857,0.18,0.6,0.0002,Super-Earth (Dense Rocky)
Kepler-78b,270701667,PASSED,Super-Earth / Rocky,0.35500745,2454953.95984,217.0,1.201,0.107,1.68,0.0053,5.35,1.75,0.814,0.7475,0.779,0.13,0.5,0.0001,Terrestrial / Iron-Silicate (Rocky)
