bjd,rv_ms,rv_err_ms,instrument
2457047.652059,13618.070,4.330,HARPS-N
2457048.698073,13602.990,4.640,HARPS-N
2457051.660438,13609.560,3.820,HARPS-N
2457053.631849,13626.490,3.230,HARPS-N
2457054.633578,13616.930,3.430,HARPS-N
2457106.553430,13630.930,3.350,HARPS-N
2457106.649807,13634.480,4.810,HARPS-N
2457107.407170,13621.970,2.450,HARPS-N
2457107.614379,13618.380,2.910,HARPS-N
2457117.560275,13627.620,2.280,HARPS-N
2457118.566752,13613.140,2.280,HARPS-N
2457121.601839,13633.350,1.850,HARPS-N
2457122.579267,13627.320,2.060,HARPS-N
2457123.606930,13630.130,3.990,HARPS-N
2457802.511934,13610.580,2.490,HARPS-N
2457802.669119,13603.180,3.020,HARPS-N
2457803.562764,13613.880,4.660,HARPS-N
2457803.643851,13607.720,3.430,HARPS-N
2457804.501399,13624.250,4.560,HARPS-N
2457806.519086,13649.300,3.180,HARPS-N
2457807.550590,13652.940,2.320,HARPS-N
2457807.621446,13652.050,2.460,HARPS-N
2457808.591329,13635.630,2.300,HARPS-N
2457809.528501,13626.650,4.250,HARPS-N
2457809.692090,13621.590,3.720,HARPS-N
2457810.587493,13606.040,11.840,HARPS-N
2457810.689379,13618.270,6.390,HARPS-N
2457811.508869,13611.160,4.800,HARPS-N
2457814.501352,13622.210,4.240,HARPS-N
2457814.622713,13632.910,2.490,HARPS-N
2457815.510831,13634.330,2.600,HARPS-N
2457815.653633,13644.560,5.940,HARPS-N
2457816.468079,13632.410,3.250,HARPS-N
2457833.605610,13624.530,3.470,HARPS-N
2457834.458599,13625.780,3.140,HARPS-N
2457835.583238,13615.970,3.500,HARPS-N
2457856.554017,13629.550,2.650,HARPS-N
2457857.434104,13655.280,2.270,HARPS-N
2457857.561496,13653.230,2.390,HARPS-N
2457860.493336,13626.660,3.480,HARPS-N
2457861.565378,13613.100,4.060,HARPS-N
2457862.508634,13617.900,2.090,HARPS-N
2457863.548260,13633.010,2.920,HARPS-N
2457864.532151,13638.100,1.900,HARPS-N
2457865.553994,13628.860,2.490,HARPS-N
2457888.460039,13610.910,4.470,HARPS-N
2457890.465092,13613.910,9.470,HARPS-N
2457893.411498,13637.840,2.420,HARPS-N
2457894.395535,13628.130,2.160,HARPS-N
2457895.410539,13609.160,2.530,HARPS-N
2457896.429312,13613.370,2.010,HARPS-N
2457905.415266,13629.540,3.090,HARPS-N
2458102.734210,13618.830,3.180,HARPS-N
2458103.697523,13648.120,4.950,HARPS-N
2458111.703799,13644.240,4.010,HARPS-N
2458121.664892,13636.910,7.680,HARPS-N
2458131.708773,13628.620,2.160,HARPS-N
2458133.766511,13612.080,4.520,HARPS-N
2458144.642569,13623.240,5.040,HARPS-N
2458184.617971,13612.820,2.350,HARPS-N
2458185.514306,13602.050,3.670,HARPS-N
2458187.575946,13632.150,5.750,HARPS-N
2458188.515148,13640.870,3.210,HARPS-N
2458188.702661,13644.220,2.530,HARPS-N
2458189.487473,13643.010,2.970,HARPS-N
2458189.637721,13651.340,2.190,HARPS-N
2458190.463221,13647.820,1.950,HARPS-N
2458190.657786,13646.040,2.230,HARPS-N
2458209.408574,13629.550,2.380,HARPS-N
2458209.509592,13627.530,3.640,HARPS-N
2458213.563097,13611.360,2.010,HARPS-N
2458214.570728,13626.250,1.950,HARPS-N
2458215.575811,13657.450,10.820,HARPS-N
2458216.521979,13629.490,4.340,HARPS-N
2458233.490443,13648.190,2.520,HARPS-N
2458243.457309,13622.260,5.670,HARPS-N
2458245.438284,13607.360,2.430,HARPS-N
2458248.482513,13625.890,2.340,HARPS-N
2458249.461870,13640.650,2.820,HARPS-N
2458250.495532,13643.230,2.940,HARPS-N
2458252.460622,13610.250,2.530,HARPS-N
2458253.463345,13611.080,2.270,HARPS-N
2458254.469063,13617.970,4.170,HARPS-N
2458885.706660,13603.330,1.580,HARPS-N
2458907.733603,13642.210,2.980,HARPS-N
2458912.526588,13620.630,2.290,HARPS-N
