bjd,rv_ms,rv_err_ms,instrument
2456762.618403,-30819.560,1.350,HARPS-N
2456763.628496,-30821.310,1.220,HARPS-N
2456768.688160,-30810.650,2.920,HARPS-N
2456784.704956,-30818.750,0.680,HARPS-N
2456798.529253,-30813.010,0.700,HARPS-N
2456801.626162,-30816.110,0.650,HARPS-N
2456803.669956,-30823.470,1.250,HARPS-N
2456813.493710,-30823.100,0.590,HARPS-N
2456814.491042,-30819.280,0.840,HARPS-N
2456815.689604,-30820.430,0.670,HARPS-N
2456816.500930,-30821.210,0.620,HARPS-N
2456828.432134,-30811.640,0.750,HARPS-N
2456829.445403,-30813.780,0.830,HARPS-N
2456830.431054,-30817.000,0.700,HARPS-N
2456830.704061,-30817.120,0.710,HARPS-N
2456831.433947,-30815.840,0.680,HARPS-N
2456832.448350,-30818.830,0.830,HARPS-N
2456832.704332,-30819.670,0.840,HARPS-N
2456833.453940,-30818.970,0.960,HARPS-N
2456833.651966,-30817.800,0.990,HARPS-N
2456834.430407,-30820.550,0.830,HARPS-N
2456834.634861,-30819.790,0.870,HARPS-N
2456835.473938,-30819.210,0.850,HARPS-N
2456835.621676,-30821.210,0.770,HARPS-N
2456836.428284,-30818.590,1.200,HARPS-N
2456836.638230,-30819.010,1.260,HARPS-N
2456845.410957,-30822.680,0.700,HARPS-N
2456846.459143,-30822.890,0.650,HARPS-N
2456847.417051,-30826.360,1.520,HARPS-N
2456848.426097,-30823.320,0.940,HARPS-N
2456849.427801,-30822.590,1.020,HARPS-N
2456850.436360,-30820.540,2.590,HARPS-N
2456851.431766,-30821.970,0.610,HARPS-N
2456852.431060,-30819.550,1.080,HARPS-N
2456853.433633,-30820.560,0.890,HARPS-N
2456862.652224,-30823.120,0.800,HARPS-N
2456863.649038,-30822.860,0.920,HARPS-N
2456864.657977,-30819.820,0.700,HARPS-N
2456865.637278,-30817.620,0.780,HARPS-N
2456866.617478,-30821.150,1.160,HARPS-N
2456883.537325,-30821.080,0.820,HARPS-N
2456884.481728,-30818.370,0.740,HARPS-N
2456885.481620,-30820.160,0.790,HARPS-N
2456886.480596,-30821.390,0.730,HARPS-N
2456887.570067,-30822.600,0.810,HARPS-N
2456888.542569,-30822.950,1.000,HARPS-N
2456889.546611,-30820.210,0.900,HARPS-N
2456890.469334,-30818.860,0.900,HARPS-N
2456919.404429,-30816.410,1.320,HARPS-N
2456922.523406,-30817.330,0.870,HARPS-N
2456923.432059,-30820.210,0.680,HARPS-N
2456924.369696,-30820.780,0.660,HARPS-N
2456929.340047,-30811.800,0.650,HARPS-N
2456934.330139,-30819.270,0.660,HARPS-N
2456936.446174,-30823.880,0.730,HARPS-N
2456939.371361,-30818.880,0.730,HARPS-N
2456967.415063,-30817.890,0.870,HARPS-N
2456968.309145,-30817.720,0.620,HARPS-N
2456969.309614,-30818.280,0.710,HARPS-N
2457115.668465,-30815.050,1.020,HARPS-N
2457117.683187,-30815.760,0.720,HARPS-N
2457122.671878,-30817.020,0.740,HARPS-N
2457153.559484,-30818.780,1.430,HARPS-N
2457156.558058,-30818.800,1.640,HARPS-N
2457157.573390,-30819.710,4.690,HARPS-N
2457158.643637,-30815.970,4.300,HARPS-N
2457159.554237,-30821.500,0.880,HARPS-N
2457160.551488,-30821.930,0.740,HARPS-N
2457161.539033,-30821.690,0.790,HARPS-N
2457180.637573,-30818.660,0.720,HARPS-N
2457181.664612,-30816.760,0.750,HARPS-N
2457182.649085,-30817.810,0.740,HARPS-N
2457183.631576,-30818.600,0.800,HARPS-N
2457184.602822,-30820.530,0.980,HARPS-N
2457185.640925,-30819.640,0.660,HARPS-N
2457186.687285,-30818.310,0.630,HARPS-N
2457188.522001,-30820.550,0.930,HARPS-N
2457189.516113,-30821.860,0.900,HARPS-N
2457190.529627,-30821.010,0.770,HARPS-N
2457191.529442,-30823.620,0.690,HARPS-N
2457192.526069,-30822.090,0.630,HARPS-N
2457193.530498,-30822.980,0.670,HARPS-N
2457195.573506,-30821.920,0.700,HARPS-N
2457221.408146,-30820.240,0.710,HARPS-N
2457222.503226,-30819.950,0.740,HARPS-N
2457223.392075,-30819.570,1.060,HARPS-N
2457224.437925,-30823.340,1.530,HARPS-N
2457225.411362,-30818.670,1.390,HARPS-N
2457226.431154,-30819.400,1.160,HARPS-N
2457227.406181,-30819.410,1.000,HARPS-N
2457228.456004,-30817.140,0.820,HARPS-N
2457229.407198,-30818.590,0.740,HARPS-N
2457230.450896,-30816.720,0.960,HARPS-N
2457254.469059,-30821.810,0.950,HARPS-N
2457256.496766,-30819.810,0.730,HARPS-N
2457257.459710,-30818.120,0.990,HARPS-N
2457267.459260,-30822.550,0.720,HARPS-N
2457268.543996,-30821.970,1.160,HARPS-N
2457269.442467,-30821.040,0.820,HARPS-N
2457270.430100,-30818.510,0.610,HARPS-N
2457271.431582,-30818.740,0.600,HARPS-N
2457272.472465,-30816.470,0.720,HARPS-N
2457273.449622,-30814.310,0.670,HARPS-N
2457300.416074,-30816.800,2.260,HARPS-N
2457301.338356,-30824.670,0.720,HARPS-N
2457302.337451,-30820.620,0.580,HARPS-N
2457321.403582,-30814.670,1.110,HARPS-N
2457322.337440,-30818.410,0.850,HARPS-N
2457324.360032,-30818.860,0.860,HARPS-N
2457331.349655,-30821.860,0.880,HARPS-N
2457334.375092,-30821.110,0.610,HARPS-N
2458715.509117,-30825.010,0.970,HARPS-N
2458726.411849,-30817.970,0.840,HARPS-N
2458737.451987,-30821.600,0.690,HARPS-N
