bjd,rv_ms,rv_err_ms,instrument
2455763.819151,10157.520,21.310,CORALIE
2455851.529532,10321.880,15.330,CORALIE
2455856.517662,10152.890,18.760,CORALIE
2455862.536048,10121.440,18.590,CORALIE
2455864.512572,10279.160,13.070,CORALIE
2455873.519715,10314.810,14.710,CORALIE
2455874.533428,10128.100,23.350,CORALIE
2455880.520328,10149.380,13.740,CORALIE
2455883.520150,10134.810,15.440,CORALIE
2455886.524004,10160.680,22.350,CORALIE
2455887.525884,10222.370,14.250,CORALIE
2456024.897192,10137.040,13.000,CORALIE
2456025.905107,10274.510,13.530,CORALIE
2456039.910180,10166.300,13.590,CORALIE
2456049.868570,10164.780,10.370,CORALIE
2456068.836042,10269.200,16.420,CORALIE
2456069.867043,10275.930,22.770,CORALIE
2456075.762539,10338.040,18.000,CORALIE
2456078.773041,10344.600,22.230,CORALIE
2456097.727277,10230.860,40.880,CORALIE
2456097.770775,10258.530,27.140,CORALIE
2456097.785440,10261.960,20.730,CORALIE
2456097.801853,10256.550,21.170,CORALIE
2456097.818266,10207.170,20.310,CORALIE
2456097.834679,10205.160,20.550,CORALIE
2456097.851103,10251.020,21.230,CORALIE
2456097.867505,10190.390,23.500,CORALIE
2456097.883929,10202.080,25.900,CORALIE
2456097.900331,10197.420,26.610,CORALIE
2456097.916547,10212.870,27.240,CORALIE
2456101.731161,10127.380,13.010,CORALIE
2456102.682563,10320.280,13.960,CORALIE
2456103.726688,10289.310,9.320,CORALIE
2456104.887774,10137.230,17.310,CORALIE
2456108.789207,10285.240,19.590,CORALIE
2456175.511112,10140.760,12.760,HARPS
2456175.628756,10147.780,5.880,HARPS
2456175.705893,10166.350,8.060,HARPS
2456177.493540,10144.510,71.070,HARPS
2456180.557838,10216.680,31.520,HARPS
2456180.568439,10317.260,25.030,HARPS
2456180.580811,10244.020,20.940,HARPS
2456180.592118,10274.960,18.760,HARPS
2456180.603437,10277.610,15.630,HARPS
2456180.618170,10260.440,10.640,HARPS
2456180.629697,10240.030,12.700,HARPS
2456180.641235,10218.740,8.850,HARPS
2456180.653086,10229.830,7.380,HARPS
2456180.664116,10214.930,7.650,HARPS
2456180.675654,10215.080,8.320,HARPS
2456180.688142,10217.020,8.390,HARPS
2456180.699889,10228.780,9.380,HARPS
2456180.711115,10228.980,10.130,HARPS
2456180.723163,10217.600,11.140,HARPS
2456180.734493,10209.700,11.080,HARPS
2456181.527589,10129.480,13.780,CORALIE
2456181.583188,10129.320,12.410,HARPS
2456182.527199,10313.580,13.760,HARPS
2456182.573515,10316.440,14.470,CORALIE
2456182.594995,10308.730,11.690,HARPS
2456182.694421,10344.340,14.330,HARPS
